U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.3 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.6 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;17.9 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.2 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;18.9 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.1 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.2 
4.6V;4.7V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;19.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.4 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.8 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;19.9 
4.6V;4.8V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.1 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;20.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.0 
4.6V;4.6V;0.362A;0.008A;100W;0W;N/A;N/A;N/A;On;CV;None;21.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.2 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.3 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.5 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.6 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.8 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;21.9 
4.6V;4.5V;0.362A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;22.0 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.1 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.2 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.3 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.5 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.7 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.8 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;22.9 
4.6V;4.6V;0.362A;0.008A;100W;0W;N/A;N/A;N/A;On;CV;None;23.0 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.1 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.2 
4.6V;4.5V;0.362A;0.019A;100W;0W;N/A;N/A;N/A;On;CV;None;23.3 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.6 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.7 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.8 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;23.9 
4.6V;4.7V;0.362A;0.015A;100W;0W;N/A;N/A;N/A;On;CV;None;24.0 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.1 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.2 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.3 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.5 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.7 
4.6V;4.6V;0.362A;0.008A;100W;0W;N/A;N/A;N/A;On;CV;None;24.8 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;24.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.0 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.1 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.2 
4.6V;4.7V;0.362A;0.009A;100W;0W;N/A;N/A;N/A;On;CV;None;25.3 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.4 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.5 
4.6V;4.4V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.6 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.7 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;25.8 
4.6V;4.5V;0.362A;0.008A;100W;0W;N/A;N/A;N/A;On;CV;None;25.9 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.0 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.1 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.2 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.3 
4.6V;4.7V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.4 
4.6V;4.5V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.5 
4.6V;4.8V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.6 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.7 
4.6V;4.6V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;On;CV;None;26.8 
