U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6519.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.7 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.8 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6520.9 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.0 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.1 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.2 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.5 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.6 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.7 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6521.9 
