U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13013.5 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13013.6 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13013.7 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13013.8 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13013.9 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.0 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.1 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.2 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.3 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.4 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.5 
50.0V;23.5V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.6 
50.0V;23.5V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.7 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.8 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13014.9 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13015.0 
50.0V;23.5V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13015.1 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13015.2 
50.0V;23.5V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13015.3 
