U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
75.0V;23.8V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;15.5 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;15.6 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;15.7 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;15.8 
75.0V;23.8V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;15.9 
75.0V;23.8V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;16.0 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;16.1 
75.0V;23.8V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;16.2 
75.0V;23.9V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;16.3 
75.0V;23.9V;0.142A;0.141A;100W;3W;N/A;N/A;N/A;On;CC;None;16.4 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;16.5 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;16.6 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;16.7 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;16.8 
75.0V;23.9V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;16.9 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;17.0 
75.0V;23.9V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;17.1 
75.0V;23.9V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;17.2 
75.0V;23.9V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;17.3 
75.0V;23.9V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;17.4 
75.0V;23.9V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;17.5 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;17.6 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;17.7 
75.0V;23.9V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;17.8 
75.0V;24.0V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;17.9 
75.0V;24.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;18.0 
75.0V;24.1V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;18.1 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;18.2 
75.0V;24.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;18.3 
75.0V;24.1V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;18.4 
75.0V;24.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;18.5 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;18.6 
75.0V;24.1V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;18.7 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;18.8 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;18.9 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;19.0 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;19.1 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;19.2 
75.0V;24.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;19.3 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;19.4 
75.0V;24.1V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;19.5 
75.0V;24.1V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;19.6 
75.0V;24.1V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;19.7 
75.0V;24.1V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;19.8 
75.0V;24.1V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;19.9 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;20.0 
75.0V;24.2V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;20.1 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;20.2 
75.0V;24.2V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;20.3 
75.0V;24.2V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;20.4 
75.0V;24.2V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;20.5 
75.0V;24.2V;0.142A;0.146A;100W;3W;N/A;N/A;N/A;On;CC;None;20.6 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;20.7 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;20.8 
75.0V;24.2V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;20.9 
75.0V;24.2V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;21.0 
75.0V;24.2V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;21.1 
75.0V;24.2V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;21.2 
75.0V;24.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;21.3 
75.0V;24.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;21.4 
75.0V;24.3V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;21.5 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;21.6 
75.0V;24.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;21.7 
75.0V;24.3V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;21.8 
75.0V;24.3V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;21.9 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;22.0 
75.0V;24.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;22.1 
75.0V;24.3V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;22.2 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;22.3 
75.0V;24.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;22.4 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;22.5 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;22.6 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;22.7 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;22.8 
75.0V;24.3V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;22.9 
75.0V;24.3V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.0 
75.0V;24.3V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;23.1 
75.0V;24.3V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;23.2 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.3 
75.0V;24.4V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;23.4 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.5 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.6 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.7 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.8 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;23.9 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;24.0 
75.0V;24.4V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;24.1 
75.0V;24.4V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;24.2 
75.0V;24.5V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;24.3 
75.0V;24.5V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;24.4 
75.0V;24.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;24.5 
75.0V;24.5V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;24.6 
75.0V;24.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;24.7 
75.0V;24.5V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;24.8 
75.0V;24.5V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;24.9 
75.0V;24.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.0 
75.0V;24.5V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.1 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.2 
75.0V;24.6V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;25.3 
75.0V;24.6V;0.142A;0.142A;100W;3W;N/A;N/A;N/A;On;CC;None;25.4 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.5 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.6 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.7 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.8 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;25.9 
75.0V;24.6V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;26.0 
75.0V;24.6V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;26.1 
75.0V;24.6V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;26.2 
75.0V;24.7V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;26.3 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;26.4 
75.0V;24.7V;0.142A;0.143A;100W;3W;N/A;N/A;N/A;On;CC;None;26.5 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;26.6 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;26.7 
75.0V;24.7V;0.142A;0.146A;100W;3W;N/A;N/A;N/A;On;CV;None;26.8 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;26.9 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;27.0 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;27.1 
75.0V;24.7V;0.142A;0.144A;100W;3W;N/A;N/A;N/A;On;CC;None;27.2 
75.0V;24.8V;0.142A;0.145A;100W;3W;N/A;N/A;N/A;On;CC;None;27.3 
