U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.2 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.3 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;25.4 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.5 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.6 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.7 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.8 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;25.9 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;26.0 
110.0V;33.4V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;26.1 
110.0V;33.4V;0.185A;0.185A;100W;6W;N/A;N/A;N/A;On;CC;None;26.2 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;26.3 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;26.4 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;26.5 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;26.6 
110.0V;33.4V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;26.7 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;26.8 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;26.9 
110.0V;33.6V;0.185A;0.187A;100W;6W;N/A;N/A;N/A;On;CC;None;27.0 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;27.1 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;27.2 
110.0V;33.6V;0.185A;0.186A;100W;6W;N/A;N/A;N/A;On;CC;None;27.3 
